EntryName,Status,Week_1,Week_2,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
BEEFYDOG28-3,Eliminated,LV,TB,45.2,5.1,82.7,86.6,62.8,15.6,2,Sprinter,Sprinter (87) / EV Hunter (83),Medium
beelen21-1,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
beerazii-1,Eliminated,CIN,LAC,71.8,13.0,91.4,89.0,35.1,18.1,2,EV Hunter,EV Hunter (91) / Sprinter (89),Medium
beerdrinker-1,Alive,LV,SF,69.2,6.7,85.9,89.1,36.2,11.4,2,Sprinter,Sprinter (89) / EV Hunter (86),Medium
beffjecker-1,Alive,PIT,SF,75.2,5.1,96.9,95.3,27.8,60.4,2,EV Hunter,EV Hunter (97) / Sprinter (95),Medium
BEIERS-1,Alive,PIT,SF,75.2,5.1,96.9,95.3,27.8,60.4,2,EV Hunter,EV Hunter (97) / Sprinter (95),Medium
Belgian-eagle0313-1,Alive,DET,SF,86.2,8.3,98.4,96.9,16.2,57.5,2,EV Hunter,EV Hunter (98) / Sprinter (97) / Planner (86),Medium
Belicheckyoursef-1,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
Believeland216-1,Alive,DET,SF,86.2,8.3,98.4,96.9,16.2,57.5,2,EV Hunter,EV Hunter (98) / Sprinter (97) / Planner (86),Medium
bellaboo23-1,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
Belmont-Large-King-1,Alive,PIT,SF,75.2,5.1,96.9,95.3,27.8,60.4,2,EV Hunter,EV Hunter (97) / Sprinter (95),Medium
belugawhale-1,Alive,DET,SF,86.2,8.3,98.4,96.9,16.2,57.5,2,EV Hunter,EV Hunter (98) / Sprinter (97) / Planner (86),Medium
belugawhale-3,Alive,JAC,PHI,78.4,5.2,84.2,91.9,30.9,65.5,2,Sprinter,Sprinter (92) / EV Hunter (84) / Planner (78),Medium
BENALLEN912-1,Eliminated,JAC,LAC,66.4,3.6,89.8,99.2,38.9,13.5,2,Sprinter,Sprinter (99) / EV Hunter (90),Medium
benbokser-1,Alive,NYJ,SF,76.6,16.1,75.0,73.4,26.0,68.2,2,Planner,Planner (77) / EV Hunter (75) / Sprinter (73) / Tourist (68),Medium
benbokser-2,Alive,DET,PHI,85.7,11.5,92.8,88.8,21.2,13.4,2,EV Hunter,EV Hunter (93) / Sprinter (89) / Planner (86),Medium
benbokser-3,Eliminated,PIT,BAL,76.7,10.0,93.6,92.1,23.7,62.2,2,EV Hunter,EV Hunter (94) / Sprinter (92),Medium
bengals85-1,Eliminated,PIT,TB,52.3,3.5,94.5,92.9,52.9,64.8,2,EV Hunter,EV Hunter (94) / Sprinter (93),Medium
bengals85-2,Eliminated,PHI,TB,66.6,8.2,92.1,91.3,40.5,64.1,2,EV Hunter,EV Hunter (92) / Sprinter (91),Medium
