EntryName,Status,Week_1,Week_2
ahv-1,Alive,JAC,SF
ahzaidi2-1,Alive,JAC,SF
aidanburke3-1,Alive,JAC,CAR
aigemac-1,Eliminated,DET,TB
aigemac-2,Eliminated,JAC,BAL
aintnohobby-1,Alive,PIT,SF
aintnohobby-2,Eliminated,DET,TB
aintnohobby-3,Alive,JAC,SF
AirForce9-1,Eliminated,JAC,TB
AirForce9-2,Eliminated,PIT,TB
AirForce9-3,Alive,PIT,SF
airfranchise-1,Alive,PIT,PHI
airfranchise-2,Eliminated,JAC,TB
airjay25-1,Alive,LV,SF
airmax4-2,Eliminated,PIT,TB
airmax4-3,Alive,JAC,SF
Airtight_Sake-2,Eliminated,LV,LAC
Airtight_Sake-3,Alive,JAC,SF
AJ0192-1,Eliminated,JAC,TB
aj3737-1,Eliminated,JAC,TB
AJ42-1,Alive,PHI,LA
AJ42-2,Eliminated,BAL,TB
Aj503-1,Alive,BAL,SF
ajbryant9-1,Alive,PIT,
aj_d-1,Eliminated,JAC,TB
aj_d-2,Eliminated,JAC,TB
aj_d-3,Eliminated,JAC,TB
aj_d-4,Eliminated,JAC,TB
aj_d-5,Eliminated,CHI,TB
aj_d-6,Eliminated,CHI,TB
aj_d-11,Eliminated,NYJ,TB
aj_d-12,Eliminated,NYJ,TB
ajd14-2,Eliminated,PIT,TB
AJG12991-1,Alive,DET,SF
ajgomez20-1,Alive,JAC,PHI
ajitpalaujla-1,Alive,PIT,SF
AJJMP-1,Eliminated,JAC,BAL
AJJMP-2,Eliminated,DET,TB
AJJMP-3,Alive,PIT,KC
AJJMP-4,Alive,CIN,SF
AJJMP-6,Alive,PHI,SF
AJJMP-7,Alive,JAC,SF
AJJMP-9,Eliminated,LV,TB
AJJMP-10,Alive,DET,PHI
ajmako-1,Eliminated,JAC,BAL
ajmil-1,Eliminated,PIT,TB
ajmil-2,Alive,JAC,SF
ajmil-4,Alive,PHI,SF
ajmoon44-1,Alive,PIT,SF
ajmoon44-2,Eliminated,PIT,TB
ajmoon44-3,Eliminated,PIT,TB
ajmoon44-4,Eliminated,JAC,LAC
ajmoon44-5,Eliminated,JAC,LAC
ajmoon44-6,Eliminated,JAC,TB
ajmoon44-7,Eliminated,LV,TB
ajmoon44-8,Eliminated,LV,TB
ajmoon44-9,Alive,LV,SF
ajmoon44-10,Alive,LV,SF
ajmoon44-11,Alive,LV,SF
ajocularlion-1,Alive,JAC,SF
ajocularlion-2,Alive,PIT,SF
ajocularlion-4,Eliminated,LV,LAC
ajocularlion-6,Eliminated,JAC,LAC
ajocularlion-7,Alive,JAC,SF
ajocularlion-8,Alive,PIT,PHI
ajocularlion-9,Eliminated,PIT,TB
