EntryName,Status,Week_1,Week_2,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
abbq-70,Alive,JAC,SF,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
abbq-71,Alive,JAC,PHI,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
abbq-72,Alive,JAC,LA,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
abbq-73,Alive,JAC,SF,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
abbq-74,Eliminated,KC,TB,86.7,34.4,62.5,62.5,32.2,78.9,1,Planner,Planner (87) / Tourist (79),Low
abbq-75,Alive,KC,NE,86.7,34.4,62.5,62.5,32.2,78.9,1,Planner,Planner (87) / Tourist (79),Low
abbq-76,Alive,KC,PHI,86.7,34.4,62.5,62.5,32.2,78.9,1,Planner,Planner (87) / Tourist (79),Low
abbq-77,Alive,KC,PHI,86.7,34.4,62.5,62.5,32.2,78.9,1,Planner,Planner (87) / Tourist (79),Low
abbq-78,Alive,KC,PHI,86.7,34.4,62.5,62.5,32.2,78.9,1,Planner,Planner (87) / Tourist (79),Low
abbq-97,Alive,LV,SF,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
abbq-98,Alive,LV,SF,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
abbq-99,Alive,LV,SF,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
abbq-100,Eliminated,LV,BAL,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
abbq-101,Alive,LV,DAL,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
abbq-102,Alive,LV,PHI,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
abbq-103,Alive,LV,PHI,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
abbq-104,Alive,LV,SF,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
abbq-105,Alive,LV,SF,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
abbq-106,Eliminated,LV,CHI,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
