EntryName,Total_Wins,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17,Week_18,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
Puppy Kisses-2,15,BUF,TEN,CLE,TB,DAL,IND,NO,PHI,NE,PIT,LAC,HOU,GB,MIA,SEA,LAR,ELIMINATED,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
RG-2,15,BAL,GB,NE,LAR,SEA,IND,BUF,TB,KC,NO,PIT,HOU,CLE,MIA,TEN,SF,ELIMINATED,ELIMINATED,88.2,9.4,87.5,87.5,0.0,17.2,1,Planner,Planner (88) / EV Hunter (88) / Sprinter (88),Low
scourrge-4,15,NE,TEN,CLE,BAL,ARI,IND,BUF,PHI,HOU,GB,PIT,WAS,MIA,KC,SEA,LAR,ELIMINATED,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
Scrlou41-1,15,NE,TB,IND,LAR,BAL,MIA,KC,PHI,TEN,GB,LAC,HOU,NYG,MIN,SEA,PIT,ELIMINATED,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
SIN CITY LORI-1,15,NE,TEN,CLE,TB,ARI,MIA,LAC,KC,PIT,GB,NO,WAS,BUF,MIN,SEA,LAR,ELIMINATED,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
SPS-3,15,BUF,TB,IND,LAR,BAL,MIA,NO,KC,NE,GB,LAC,HOU,CLE,MIN,SEA,PIT,ELIMINATED,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
WARDOG-2,15,KC,TEN,IND,TB,PIT,BAL,BUF,PHI,NE,GB,LAC,HOU,CLE,MIA,SEA,LAR,ELIMINATED,ELIMINATED,95.6,12.5,96.9,96.9,7.6,13.3,1,EV Hunter,EV Hunter (97) / Sprinter (97) / Planner (96),Low
WWCD 2-1,15,BAL,KC,IND,LAR,ARI,MIA,BUF,TB,NE,GB,LAC,HOU,NYG,MIN,SEA,PIT,ELIMINATED,ELIMINATED,88.2,9.4,87.5,87.5,0.0,17.2,1,Planner,Planner (88) / EV Hunter (88) / Sprinter (88),Low
YEEGONE2-3,15,BUF,TB,CLE,BAL,ARI,IND,NO,PHI,NE,GB,PIT,HOU,NYG,MIA,SEA,LAR,ELIMINATED,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
DIVINE MERCY 24/7-1,14,KC,BAL,IND,LAR,SEA,MIA,BUF,TB,PIT,GB,LAC,HOU,NYG,MIN,NO,ELIMINATED,ELIMINATED,ELIMINATED,95.6,12.5,96.9,96.9,7.6,13.3,1,EV Hunter,EV Hunter (97) / Sprinter (97) / Planner (96),Low
DR B-3,14,BAL,TB,IND,LAR,SEA,MIA,BUF,PHI,KC,GB,LAC,HOU,NYG,LV,NO,ELIMINATED,ELIMINATED,ELIMINATED,88.2,9.4,87.5,87.5,0.0,17.2,1,Planner,Planner (88) / EV Hunter (88) / Sprinter (88),Low
JEFF PROBST-4,14,NE,CHI,IND,LAR,DAL,MIA,BUF,TB,KC,NO,PIT,WAS,GB,LV,CAR,ELIMINATED,ELIMINATED,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
Juice Box-2,14,KC,ARI,IND,BAL,SEA,MIA,BUF,TB,NE,GB,LAC,HOU,NYG,MIN,NO,ELIMINATED,ELIMINATED,ELIMINATED,95.6,12.5,96.9,96.9,7.6,13.3,1,EV Hunter,EV Hunter (97) / Sprinter (97) / Planner (96),Low
Puppy Kisses-1,14,BUF,TEN,CLE,TB,BAL,IND,LAR,PHI,NE,GB,PIT,WAS,NYG,MIA,NO,ELIMINATED,ELIMINATED,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
Squid-5,14,BAL,TEN,CLE,LAR,NO,IND,BUF,PHI,KC,GB,PIT,WAS,MIA,MIN,CAR,ELIMINATED,ELIMINATED,ELIMINATED,88.2,9.4,87.5,87.5,0.0,17.2,1,Planner,Planner (88) / EV Hunter (88) / Sprinter (88),Low
Uncle Nephew-2,14,LV,CLE,IND,LAR,ARI,MIA,BUF,PHI,PIT,GB,LAC,HOU,NYG,KC,NO,ELIMINATED,ELIMINATED,ELIMINATED,70.5,25.0,68.8,68.8,43.0,62.5,1,Planner,Planner (70) / EV Hunter (69) / Sprinter (69) / Tourist (62),Low
@Pigskin_Junkies-1,13,BUF,TEN,IND,LAR,HOU,MIA,LAC,PHI,MIN,GB,KC,WAS,NYG,SEA,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
